Origin stage n chromosome start end redip
ssa10_106656487_106656958.maf lateblastulation 1 ssa10 106656487 106656958 AORe
ssa10_106772779_106774042.maf liver_mature_male 1 ssa10 106772779 106774042 AORe
ssa10_106845583_106846148.maf muscle_immature_female 1 ssa10 106845583 106846148 AORe
ssa10_106965190_106965985.maf liver_immature_female 1 ssa10 106965190 106965985 AORe
ssa10_106965190_106965985.maf liver_immature_male 1 ssa10 106965190 106965985 AORe
ssa10_106965190_106965985.maf liver_mature_male 1 ssa10 106965190 106965985 AORe
ssa10_106981931_106982556.maf ovary_mature_female 1 ssa10 106981931 106982556 AORe
ssa10_10700299_10700699.maf liver_mature_male 1 ssa10 10700299 10700699 AORe
ssa10_107006243_107007207.maf liver_immature_female 1 ssa10 107006243 107007207 AORe
ssa10_107006243_107007207.maf liver_immature_male 1 ssa10 107006243 107007207 AORe
ssa10_107119698_107120044.maf muscle_immature_female 1 ssa10 107119698 107120044 AORe
ssa10_107119698_107120044.maf muscle_immature_male 1 ssa10 107119698 107120044 AORe
ssa10_107119698_107120044.maf muscle_mature_female 1 ssa10 107119698 107120044 AORe
ssa10_107119698_107120044.maf muscle_mature_male 1 ssa10 107119698 107120044 AORe
ssa10_107208171_107209209.maf lateblastulation 1 ssa10 107208171 107209209 AORe
ssa10_10734991_10735176.maf liver_immature_male 1 ssa10 10734991 10735176 AORe
ssa10_10734991_10735176.maf liver_mature_male 1 ssa10 10734991 10735176 AORe
ssa10_107362608_107363871.maf brain_immature_male 1 ssa10 107362608 107363871 AORe
ssa10_107521188_107521765.maf brain_immature_male 1 ssa10 107521188 107521765 AORe
ssa10_107548657_107549338.maf brain_immature_male 1 ssa10 107548657 107549338 AORe
ssa10_107692634_107693770.maf midsomitogenesis 1 ssa10 107692634 107693770 AORe
ssa10_107804184_107804355.maf ovary_mature_female 1 ssa10 107804184 107804355 AORe
ssa10_107820252_107820734.maf ovary_mature_female 1 ssa10 107820252 107820734 AORe
ssa10_107820252_107820734.maf testis_immature_male 1 ssa10 107820252 107820734 AORe
ssa10_107949221_107950100.maf lateblastulation 1 ssa10 107949221 107950100 AORe
ssa10_108002576_108003178.maf brain_mature_female 1 ssa10 108002576 108003178 AORe
ssa10_108019748_108020686.maf brain_mature_male 1 ssa10 108019748 108020686 AORe
ssa10_108187451_108187831.maf brain_immature_male 1 ssa10 108187451 108187831 AORe
ssa10_108187451_108187831.maf brain_mature_male 1 ssa10 108187451 108187831 AORe
ssa10_108197631_108198291.maf brain_immature_male 1 ssa10 108197631 108198291 AORe
ssa10_108197631_108198291.maf brain_mature_male 1 ssa10 108197631 108198291 AORe
ssa10_108279094_108279603.maf liver_mature_male 1 ssa10 108279094 108279603 AORe
ssa10_108321544_108322199.maf brain_mature_male 1 ssa10 108321544 108322199 AORe
ssa10_108321544_108322199.maf latesomitogenesis 1 ssa10 108321544 108322199 AORe
ssa10_108391536_108392375.maf midgastrulation 1 ssa10 108391536 108392375 AORe
ssa10_108444072_108444624.maf lateblastulation 1 ssa10 108444072 108444624 AORe
ssa10_108444072_108444624.maf midgastrulation 1 ssa10 108444072 108444624 AORe
ssa10_108447090_108447501.maf muscle_mature_male 1 ssa10 108447090 108447501 AORe
ssa10_108460760_108461394.maf brain_mature_male 1 ssa10 108460760 108461394 AORe
ssa10_108658923_108659416.maf liver_mature_male 1 ssa10 108658923 108659416 AORe
ssa10_108661999_108662413.maf liver_mature_male 1 ssa10 108661999 108662413 AORe
ssa10_108707300_108707837.maf brain_mature_female 1 ssa10 108707300 108707837 AORe
ssa10_108707300_108707837.maf brain_mature_male 1 ssa10 108707300 108707837 AORe
ssa10_108707300_108707837.maf liver_mature_male 1 ssa10 108707300 108707837 AORe
ssa10_108708742_108709064.maf muscle_immature_female 1 ssa10 108708742 108709064 AORe
ssa10_108735866_108736275.maf liver_immature_male 1 ssa10 108735866 108736275 AORe
ssa10_108735866_108736275.maf liver_mature_male 1 ssa10 108735866 108736275 AORe
ssa10_108765455_108766492.maf lateblastulation 1 ssa10 108765455 108766492 AORe
ssa10_108877212_108878188.maf brain_immature_male 1 ssa10 108877212 108878188 AORe
ssa10_108877212_108878188.maf brain_mature_female 1 ssa10 108877212 108878188 AORe
ssa10_10895554_10896772.maf brain_immature_male 1 ssa10 10895554 10896772 AORe
ssa10_10895554_10896772.maf brain_mature_male 1 ssa10 10895554 10896772 AORe
ssa10_109142610_109143185.maf liver_immature_male 1 ssa10 109142610 109143185 AORe
ssa10_109142610_109143185.maf liver_mature_male 1 ssa10 109142610 109143185 AORe
ssa10_109157158_109157481.maf liver_mature_male 1 ssa10 109157158 109157481 AORe
ssa10_109228494_109229358.maf ovary_immature_female 1 ssa10 109228494 109229358 AORe
ssa10_109228494_109229358.maf ovary_mature_female 1 ssa10 109228494 109229358 AORe
ssa10_109228494_109229358.maf testis_immature_male 1 ssa10 109228494 109229358 AORe
ssa10_109234923_109235682.maf latesomitogenesis 1 ssa10 109234923 109235682 AORe
ssa10_109234923_109235682.maf ovary_immature_female 1 ssa10 109234923 109235682 AORe
ssa10_109234923_109235682.maf ovary_mature_female 1 ssa10 109234923 109235682 AORe
ssa10_109240875_109241145.maf midsomitogenesis 1 ssa10 109240875 109241145 AORe
ssa10_10925699_10926604.maf brain_immature_female 1 ssa10 10925699 10926604 AORe
ssa10_10925699_10926604.maf brain_immature_male 1 ssa10 10925699 10926604 AORe
ssa10_10925699_10926604.maf brain_mature_female 1 ssa10 10925699 10926604 AORe
ssa10_10925699_10926604.maf brain_mature_male 1 ssa10 10925699 10926604 AORe
ssa10_10928674_10928923.maf brain_immature_male 1 ssa10 10928674 10928923 AORe
ssa10_10928674_10928923.maf brain_mature_male 1 ssa10 10928674 10928923 AORe
ssa10_109345441_109345920.maf brain_mature_male 1 ssa10 109345441 109345920 AORe
ssa10_109431787_109433197.maf brain_immature_female 1 ssa10 109431787 109433197 AORe
ssa10_109431787_109433197.maf brain_immature_male 1 ssa10 109431787 109433197 AORe
ssa10_109431787_109433197.maf brain_mature_female 1 ssa10 109431787 109433197 AORe
ssa10_109431787_109433197.maf brain_mature_male 1 ssa10 109431787 109433197 AORe
ssa10_109431787_109433197.maf liver_mature_male 1 ssa10 109431787 109433197 AORe
ssa10_10969254_10969449.maf brain_immature_male 1 ssa10 10969254 10969449 AORe
ssa10_109773032_109773964.maf brain_immature_male 1 ssa10 109773032 109773964 AORe
ssa10_109773032_109773964.maf brain_mature_male 1 ssa10 109773032 109773964 AORe
ssa10_109791225_109791643.maf brain_immature_male 1 ssa10 109791225 109791643 AORe
ssa10_109807671_109808838.maf liver_mature_male 1 ssa10 109807671 109808838 AORe
ssa10_109821685_109822516.maf liver_immature_male 1 ssa10 109821685 109822516 AORe
ssa10_109821685_109822516.maf liver_mature_male 1 ssa10 109821685 109822516 AORe
ssa10_109845517_109845871.maf lateblastulation 1 ssa10 109845517 109845871 AORe
ssa10_10996257_10996897.maf brain_immature_male 1 ssa10 10996257 10996897 AORe
ssa10_10996257_10996897.maf brain_mature_female 1 ssa10 10996257 10996897 AORe
ssa10_10996257_10996897.maf brain_mature_male 1 ssa10 10996257 10996897 AORe
ssa10_11005801_11006100.maf brain_mature_male 1 ssa10 11005801 11006100 AORe
ssa10_11027819_11028386.maf brain_immature_male 1 ssa10 11027819 11028386 AORe
ssa10_11027819_11028386.maf brain_mature_male 1 ssa10 11027819 11028386 AORe
ssa10_11027819_11028386.maf muscle_immature_female 1 ssa10 11027819 11028386 AORe
ssa10_110280321_110282013.maf lateblastulation 1 ssa10 110280321 110282013 AORe
ssa10_110280321_110282013.maf latesomitogenesis 1 ssa10 110280321 110282013 AORe
ssa10_110280321_110282013.maf midsomitogenesis 1 ssa10 110280321 110282013 AORe
ssa10_11028411_11029451.maf brain_mature_female 1 ssa10 11028411 11029451 AORe
ssa10_11028411_11029451.maf midsomitogenesis 1 ssa10 11028411 11029451 AORe
ssa10_110284610_110285468.maf testis_immature_male 1 ssa10 110284610 110285468 AORe
ssa10_110337947_110339250.maf brain_mature_male 1 ssa10 110337947 110339250 AORe
ssa10_110408461_110408914.maf brain_mature_female 1 ssa10 110408461 110408914 AORe
ssa10_110495952_110496681.maf brain_mature_female 1 ssa10 110495952 110496681 AORe
ssa10_110495952_110496681.maf brain_mature_male 1 ssa10 110495952 110496681 AORe
ssa10_11050933_11051486.maf latesomitogenesis 1 ssa10 11050933 11051486 AORe
ssa10_11050933_11051486.maf midsomitogenesis 1 ssa10 11050933 11051486 AORe
ssa10_11050933_11051486.maf muscle_immature_female 1 ssa10 11050933 11051486 AORe
ssa10_11050933_11051486.maf muscle_mature_female 1 ssa10 11050933 11051486 AORe
ssa10_11053012_11053676.maf brain_mature_male 1 ssa10 11053012 11053676 AORe
ssa10_11055861_11056144.maf testis_immature_male 1 ssa10 11055861 11056144 AORe
ssa10_110672945_110673191.maf muscle_mature_male 1 ssa10 110672945 110673191 AORe
ssa10_110678161_110678884.maf muscle_mature_female 1 ssa10 110678161 110678884 AORe
ssa10_110678161_110678884.maf muscle_mature_male 1 ssa10 110678161 110678884 AORe
ssa10_110681823_110681994.maf muscle_immature_female 1 ssa10 110681823 110681994 AORe
ssa10_110847715_110848277.maf latesomitogenesis 1 ssa10 110847715 110848277 AORe
ssa10_110847715_110848277.maf midsomitogenesis 1 ssa10 110847715 110848277 AORe
ssa10_11112403_11113447.maf brain_immature_female 1 ssa10 11112403 11113447 AORe
ssa10_11112403_11113447.maf brain_immature_male 1 ssa10 11112403 11113447 AORe
ssa10_11112403_11113447.maf brain_mature_female 1 ssa10 11112403 11113447 AORe
ssa10_11112403_11113447.maf brain_mature_male 1 ssa10 11112403 11113447 AORe
ssa10_111251640_111252304.maf brain_immature_male 1 ssa10 111251640 111252304 AORe
ssa10_111251640_111252304.maf brain_mature_male 1 ssa10 111251640 111252304 AORe
ssa10_111251640_111252304.maf lateblastulation 1 ssa10 111251640 111252304 AORe
ssa10_111251640_111252304.maf midgastrulation 1 ssa10 111251640 111252304 AORe
ssa10_111342217_111342853.maf brain_immature_male 1 ssa10 111342217 111342853 AORe
ssa10_111342217_111342853.maf brain_mature_male 1 ssa10 111342217 111342853 AORe
ssa10_111342957_111343264.maf midsomitogenesis 1 ssa10 111342957 111343264 AORe
ssa10_111674947_111675298.maf brain_mature_female 1 ssa10 111674947 111675298 AORe
ssa10_111730444_111730644.maf muscle_mature_female 1 ssa10 111730444 111730644 AORe
ssa10_111731271_111731693.maf muscle_immature_female 1 ssa10 111731271 111731693 AORe
ssa10_111731271_111731693.maf muscle_immature_male 1 ssa10 111731271 111731693 AORe
ssa10_111731271_111731693.maf muscle_mature_female 1 ssa10 111731271 111731693 AORe
ssa10_111731271_111731693.maf muscle_mature_male 1 ssa10 111731271 111731693 AORe
ssa10_111787617_111788166.maf latesomitogenesis 1 ssa10 111787617 111788166 AORe
ssa10_111787617_111788166.maf testis_mature_male 1 ssa10 111787617 111788166 AORe
ssa10_111791757_111792129.maf testis_mature_male 1 ssa10 111791757 111792129 AORe
ssa10_111846744_111847080.maf ovary_immature_female 1 ssa10 111846744 111847080 AORe
ssa10_111846744_111847080.maf testis_immature_male 1 ssa10 111846744 111847080 AORe
ssa10_111846744_111847080.maf testis_mature_male 1 ssa10 111846744 111847080 AORe
ssa10_111848744_111849096.maf ovary_immature_female 1 ssa10 111848744 111849096 AORe
ssa10_111848744_111849096.maf ovary_mature_female 1 ssa10 111848744 111849096 AORe
ssa10_111950220_111951200.maf liver_mature_female 1 ssa10 111950220 111951200 AORe
ssa10_111950220_111951200.maf midsomitogenesis 1 ssa10 111950220 111951200 AORe
ssa10_112086017_112086241.maf liver_mature_male 1 ssa10 112086017 112086241 AORe
ssa10_112092351_112092733.maf liver_immature_male 1 ssa10 112092351 112092733 AORe
ssa10_112092351_112092733.maf liver_mature_male 1 ssa10 112092351 112092733 AORe
ssa10_112097542_112098071.maf liver_immature_male 1 ssa10 112097542 112098071 AORe
ssa10_112097542_112098071.maf liver_mature_female 1 ssa10 112097542 112098071 AORe
ssa10_112097542_112098071.maf liver_mature_male 1 ssa10 112097542 112098071 AORe
ssa10_112107689_112108073.maf liver_immature_male 1 ssa10 112107689 112108073 AORe
ssa10_112107689_112108073.maf liver_mature_male 1 ssa10 112107689 112108073 AORe
ssa10_112108243_112108805.maf liver_mature_male 1 ssa10 112108243 112108805 AORe
ssa10_112145322_112145799.maf liver_immature_male 1 ssa10 112145322 112145799 AORe
ssa10_112145322_112145799.maf liver_mature_female 1 ssa10 112145322 112145799 AORe
ssa10_112145322_112145799.maf liver_mature_male 1 ssa10 112145322 112145799 AORe
ssa10_112196425_112198077.maf brain_mature_male 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf liver_immature_male 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf liver_mature_female 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf liver_mature_male 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf ovary_immature_female 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf ovary_mature_female 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf testis_immature_male 1 ssa10 112196425 112198077 AORe
ssa10_112196425_112198077.maf testis_mature_male 1 ssa10 112196425 112198077 AORe
ssa10_112198347_112198897.maf testis_immature_male 1 ssa10 112198347 112198897 AORe
ssa10_112198347_112198897.maf testis_mature_male 1 ssa10 112198347 112198897 AORe
ssa10_112204850_112205059.maf testis_immature_male 1 ssa10 112204850 112205059 AORe
ssa10_112357006_112357973.maf brain_immature_male 1 ssa10 112357006 112357973 AORe
ssa10_112357006_112357973.maf brain_mature_male 1 ssa10 112357006 112357973 AORe
ssa10_112375440_112376085.maf midsomitogenesis 1 ssa10 112375440 112376085 AORe
ssa10_112376410_112376689.maf earlysomitogenesis 1 ssa10 112376410 112376689 AORe
ssa10_112380914_112381331.maf latesomitogenesis 1 ssa10 112380914 112381331 AORe
ssa10_112380914_112381331.maf liver_mature_female 1 ssa10 112380914 112381331 AORe
ssa10_112380914_112381331.maf liver_mature_male 1 ssa10 112380914 112381331 AORe
ssa10_112380914_112381331.maf midsomitogenesis 1 ssa10 112380914 112381331 AORe
ssa10_112380914_112381331.maf muscle_immature_female 1 ssa10 112380914 112381331 AORe
ssa10_112380914_112381331.maf testis_immature_male 1 ssa10 112380914 112381331 AORe
ssa10_112380914_112381331.maf testis_mature_male 1 ssa10 112380914 112381331 AORe
ssa10_112689797_112690429.maf lateblastulation 1 ssa10 112689797 112690429 AORe
ssa10_112764805_112765622.maf muscle_mature_male 1 ssa10 112764805 112765622 AORe
ssa10_112916522_112917234.maf brain_immature_male 1 ssa10 112916522 112917234 AORe
ssa10_112916522_112917234.maf brain_mature_male 1 ssa10 112916522 112917234 AORe
ssa10_113583660_113584408.maf latesomitogenesis 1 ssa10 113583660 113584408 AORe
ssa10_113657049_113657545.maf brain_mature_female 1 ssa10 113657049 113657545 AORe
ssa10_113657049_113657545.maf brain_mature_male 1 ssa10 113657049 113657545 AORe
ssa10_113767694_113768393.maf brain_immature_male 1 ssa10 113767694 113768393 AORe
ssa10_113767694_113768393.maf brain_mature_female 1 ssa10 113767694 113768393 AORe
ssa10_113767694_113768393.maf brain_mature_male 1 ssa10 113767694 113768393 AORe
ssa10_113767694_113768393.maf latesomitogenesis 1 ssa10 113767694 113768393 AORe
ssa10_114274293_114274878.maf brain_immature_male 1 ssa10 114274293 114274878 AORe
ssa10_114274293_114274878.maf brain_mature_female 1 ssa10 114274293 114274878 AORe
ssa10_114274293_114274878.maf brain_mature_male 1 ssa10 114274293 114274878 AORe
ssa10_114275998_114276670.maf brain_immature_male 1 ssa10 114275998 114276670 AORe
ssa10_114275998_114276670.maf brain_mature_male 1 ssa10 114275998 114276670 AORe
ssa10_114275998_114276670.maf liver_mature_male 1 ssa10 114275998 114276670 AORe
ssa10_114281593_114282321.maf testis_mature_male 1 ssa10 114281593 114282321 AORe
ssa10_114291438_114291760.maf liver_immature_male 1 ssa10 114291438 114291760 AORe
ssa10_114301293_114301804.maf brain_immature_male 1 ssa10 114301293 114301804 AORe
ssa10_114301293_114301804.maf brain_mature_female 1 ssa10 114301293 114301804 AORe
ssa10_114524665_114525918.maf brain_immature_male 1 ssa10 114524665 114525918 AORe
ssa10_114792772_114793061.maf muscle_immature_male 1 ssa10 114792772 114793061 AORe
ssa10_114801456_114801782.maf muscle_immature_male 1 ssa10 114801456 114801782 AORe
ssa10_114801456_114801782.maf muscle_mature_female 1 ssa10 114801456 114801782 AORe
ssa10_114826428_114826829.maf muscle_immature_female 1 ssa10 114826428 114826829 AORe
ssa10_114826428_114826829.maf muscle_mature_female 1 ssa10 114826428 114826829 AORe
ssa10_114865591_114866379.maf muscle_immature_female 1 ssa10 114865591 114866379 AORe
ssa10_114865591_114866379.maf muscle_mature_female 1 ssa10 114865591 114866379 AORe
ssa10_114865591_114866379.maf muscle_mature_male 1 ssa10 114865591 114866379 AORe
ssa10_114990376_114991516.maf lateblastulation 1 ssa10 114990376 114991516 AORe
ssa10_114990376_114991516.maf latesomitogenesis 1 ssa10 114990376 114991516 AORe
ssa10_114990376_114991516.maf midgastrulation 1 ssa10 114990376 114991516 AORe
ssa10_114990376_114991516.maf midsomitogenesis 1 ssa10 114990376 114991516 AORe
ssa10_115016506_115017077.maf lateblastulation 1 ssa10 115016506 115017077 AORe
ssa10_115088514_115089139.maf latesomitogenesis 1 ssa10 115088514 115089139 AORe
ssa10_115088514_115089139.maf midsomitogenesis 1 ssa10 115088514 115089139 AORe
ssa10_115088514_115089139.maf testis_mature_male 1 ssa10 115088514 115089139 AORe
ssa10_115262957_115263517.maf brain_mature_male 1 ssa10 115262957 115263517 AORe
ssa10_115292670_115293117.maf testis_immature_male 1 ssa10 115292670 115293117 AORe
ssa10_115292670_115293117.maf testis_mature_male 1 ssa10 115292670 115293117 AORe
ssa10_115556628_115557268.maf lateblastulation 1 ssa10 115556628 115557268 AORe
ssa10_115575695_115576220.maf brain_mature_male 1 ssa10 115575695 115576220 AORe
ssa10_115879972_115881330.maf lateblastulation 1 ssa10 115879972 115881330 AORe
ssa10_116078727_116079550.maf ovary_immature_female 1 ssa10 116078727 116079550 AORe
ssa10_116106509_116107141.maf liver_immature_female 1 ssa10 116106509 116107141 AORe
ssa10_116106509_116107141.maf liver_immature_male 1 ssa10 116106509 116107141 AORe
ssa10_116106509_116107141.maf liver_mature_male 1 ssa10 116106509 116107141 AORe
ssa10_116129795_116130568.maf brain_mature_male 1 ssa10 116129795 116130568 AORe
ssa10_116165930_116166494.maf liver_immature_female 1 ssa10 116165930 116166494 AORe
ssa10_116165930_116166494.maf liver_immature_male 1 ssa10 116165930 116166494 AORe
ssa10_116165930_116166494.maf liver_mature_female 1 ssa10 116165930 116166494 AORe
ssa10_116165930_116166494.maf liver_mature_male 1 ssa10 116165930 116166494 AORe
ssa10_116189694_116190974.maf brain_immature_female 1 ssa10 116189694 116190974 AORe
ssa10_116189694_116190974.maf brain_immature_male 1 ssa10 116189694 116190974 AORe
ssa10_116189694_116190974.maf brain_mature_female 1 ssa10 116189694 116190974 AORe
ssa10_116189694_116190974.maf brain_mature_male 1 ssa10 116189694 116190974 AORe
ssa10_116192107_116193073.maf lateblastulation 1 ssa10 116192107 116193073 AORe
ssa10_116219445_116220195.maf brain_mature_male 1 ssa10 116219445 116220195 AORe
ssa10_116365054_116365535.maf brain_mature_male 1 ssa10 116365054 116365535 AORe
ssa10_116365054_116365535.maf midsomitogenesis 1 ssa10 116365054 116365535 AORe
ssa10_116772849_116773139.maf muscle_immature_female 1 ssa10 116772849 116773139 AORe
ssa10_116854521_116854977.maf muscle_immature_female 1 ssa10 116854521 116854977 AORe
ssa10_116854521_116854977.maf muscle_immature_male 1 ssa10 116854521 116854977 AORe
ssa10_116854521_116854977.maf muscle_mature_female 1 ssa10 116854521 116854977 AORe
ssa10_116854521_116854977.maf muscle_mature_male 1 ssa10 116854521 116854977 AORe
ssa10_116868969_116869258.maf muscle_immature_female 1 ssa10 116868969 116869258 AORe
ssa10_116940324_116941458.maf liver_immature_male 1 ssa10 116940324 116941458 AORe
ssa10_116940324_116941458.maf liver_mature_female 1 ssa10 116940324 116941458 AORe
ssa10_116940324_116941458.maf liver_mature_male 1 ssa10 116940324 116941458 AORe
ssa10_117086960_117087177.maf liver_mature_male 1 ssa10 117086960 117087177 AORe
ssa10_117143830_117144161.maf brain_immature_male 1 ssa10 117143830 117144161 AORe
ssa10_117143830_117144161.maf brain_mature_female 1 ssa10 117143830 117144161 AORe
ssa10_117143830_117144161.maf brain_mature_male 1 ssa10 117143830 117144161 AORe
