subOG	spc	geneID	chr	start	end	strand	nSsal	nOmyk	synteny	phylogeny	proxiSynteny	proxiPhylogeny	reciprocal
Ens106s00001.377	Ssal	ENSSSAG00000068512	SsaCAJNNT020002261.1	16857	17984	-	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Ssal	ENSSSAG00000068508	Ssa21	49100092	49102117	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000107467	Ssa21	51669541	51671319	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000049892	Omy22	43993295	43994976	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000103291	Ssa21	49502779	49504655	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000023969	Omy22	43586334	43612581	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000113440	Ssa21	49320852	49321908	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000035388	Omy22	45251332	45252728	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000048025	Omy22	45358979	45388671	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000035384	Omy22	45274383	45344406	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000084917	Ssa21	51532870	51614639	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000095079	Ssa21	51108652	51110639	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000101012	SsaCAJNNT020002860.1	48410	50372	-	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Ssal	ENSSSAG00000094644	Ssa18	1057257	1088104	-	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Omyk	ENSOMYG00000055148	Omy04	4594931	4610028	-	19	21	NA	NA	((Omy04,Ssa06),(Omy08,Ssa15))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000090879	SsaCAJNNT020002959.1	157179	189481	+	19	21	NA	NA	NA	NA	NA
Ens106s00001.377	Ssal	ENSSSAG00000082951	Ssa13	114172444	114200698	-	19	21	NA	NA	((Omy05,Ssa01),(Omy12,Ssa13))	cryptic	NA
Ens106s00001.377	Omyk	ENSOMYG00000019310	Omy22	43942041	43972228	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000115040	Ssa21	49285865	49381806	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000071348	Omy04	4603828	4605028	+	19	21	NA	NA	((Omy04,Ssa06),(Omy08,Ssa15))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000055723	Omy04	4548985	4574920	+	19	21	NA	NA	((Omy04,Ssa06),(Omy08,Ssa15))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000060526	Omy22	45511395	45512897	+	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000061875	Omy22	43680669	43734237	-	19	21	NA	NA	((Omy03,Ssa25),(Omy22,Ssa21))	AORe	NA
Ens106s00001.377	Ssal	ENSSSAG00000076399	Ssa13	89487833	89489705	+	19	21	NA	NA	((Omy10,Ssa04),(Omy12,Ssa13))	AORe	NA
Ens106s00001.377	Omyk	ENSOMYG00000049654	Omy12	23437718	23438662	-	19	21	NA	NA	((Omy10,Ssa04),(Omy12,Ssa13))	AORe	NA
Ens106s00002.925	Ssal	ENSSSAG00000095097	Ssa12	8198264	8216457	-	1	0	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.930	Ssal	ENSSSAG00000091777	Ssa12	8217848	8222961	-	1	0	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000108423	SsaCAJNNT020002019.1	1119428	1150809	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000094481	SsaCAJNNT020001769.1	300339	344771	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000117789	SsaCAJNNT020001763.1	219128	291746	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000097044	SsaCAJNNT020001657.1	63368	149342	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000118452	SsaCAJNNT020002053.1	15313	54145	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000086161	Ssa02	87658084	87685619	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000016207	SsaCAJNNT020001900.1	243278	245290	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000093237	SsaCAJNNT020002053.1	87237	266557	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000097099	SsaCAJNNT020002415.1	23648	30226	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000001441	Omy07	29454642	29529466	-	177	47	NA	NA	((Omy07,Ssa22),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000008408	Omy13	1312942	1317154	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000039101	Omy10	75053825	75055575	-	177	47	NA	NA	((Omy10,Ssa04),(Omy19,Ssa08))	cryptic	NA
Ens106s00002.934	Ssal	ENSSSAG00000104996	SsaCAJNNT020002130.1	285176	388992	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000107823	SsaCAJNNT020002130.1	354934	426269	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000116620	Ssa02	85844072	85974145	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000089978	SsaCAJNNT020004198.1	671561	682440	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000107519	Ssa02	91548303	91632283	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000017950	SsaCAJNNT020000874.1	201377	203942	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000092668	Ssa02	90106411	90176251	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000053530	Omy13	28387100	28391998	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000090094	Ssa06	11934138	11999922	-	177	47	NA	NA	((Omy12,Ssa03),(Omy13,Ssa06))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000024615	Omy12	94292087	94492613	+	177	47	NA	NA	((Omy12,Ssa03),(Omy13,Ssa06))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000052845	Omy12	94360391	94369430	-	177	47	NA	NA	((Omy12,Ssa03),(Omy13,Ssa06))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000082421	Ssa06	11872944	11887493	-	177	47	NA	NA	((Omy12,Ssa03),(Omy13,Ssa06))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000104511	Ssa02	68480951	68490951	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000044730	SsaCAJNNT020000988.1	549	25367	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000115924	SsaCAJNNT020002760.1	2186	21495	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000007859	Omy17	13267420	13273249	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000003091	Ssa06	11840866	11853473	+	177	47	NA	NA	((Omy12,Ssa03),(Omy13,Ssa06))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000026770	Omy17	3146696	3225701	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000023026	SsaCAJNNT020002462.1	59645	72135	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000082659	SsaCAJNNT020002065.1	31797	35642	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000121350	SsaCAJNNT020001651.1	157346	319191	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000121080	SsaCAJNNT020002462.1	70703	100737	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000093059	SsaCAJNNT020002477.1	417551	427174	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000091783	SsaCAJNNT020002404.1	175409	238541	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000086108	Ssa02	87780969	87976129	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000112719	SsaCAJNNT020003322.1	478134	574384	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000087169	Ssa03	105576720	105583045	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000094424	SsaCAJNNT020001353.1	193831	199634	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000101723	SsaCAJNNT020002412.1	29873	31651	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000057423	SsaCAJNNT020001775.1	97692	99311	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000107394	SsaCAJNNT020004199.1	309635	380344	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000105103	SsaCAJNNT020004199.1	698245	708849	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000100668	SsaCAJNNT020004199.1	151617	434661	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000117083	Ssa02	88872370	88890731	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000094915	SsaCAJNNT020001768.1	188985	202004	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000055820	Ssa03	105113170	105226284	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000115757	SsaCAJNNT020000890.1	260071	286510	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000115107	SsaCAJNNT020000890.1	619691	628074	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000106790	Ssa02	90054529	90139695	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000003568	Omy13	27624998	27628833	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000119329	Ssa02	85748844	85805120	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000111712	Ssa12	18904095	18949755	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000116253	SsaCAJNNT020004199.1	201905	215927	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000001404	SsaCAJNNT020004198.1	607297	637139	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000110180	Ssa02	87383732	87450181	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000038640	Omy13	1592138	1708056	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000096260	Ssa02	91195805	91750169	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000117245	Ssa02	87828486	87994007	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000111026	SsaCAJNNT020004199.1	579495	588233	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000027911	Omy04	4430063	4440254	+	177	47	NA	NA	((Omy04,Ssa06),(Omy08,Ssa15))	AORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000003880	Omy13	26579556	26588136	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000100446	Ssa02	88758516	88800573	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000115962	Ssa02	89943131	89953051	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000104667	SsaCAJNNT020001363.1	80191	122883	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000108959	SsaCAJNNT020002129.1	6345	12351	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000115766	SsaCAJNNT020002404.1	175100	258654	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000114345	SsaCAJNNT020002130.1	417432	451127	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000121235	SsaCAJNNT020001288.1	100313	227430	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000107965	Ssa03	104299712	105086317	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000051522	Omy13	28187501	28671794	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000055809	Ssa02	89258722	89260613	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000017067	SsaCAJNNT020002040.1	225319	284070	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000097333	SsaCAJNNT020004199.1	151583	161404	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000107597	SsaCAJNNT020001981.1	340006	505511	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000114038	SsaCAJNNT020000898.1	116943	406358	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000004131	Omy13	26709364	26719417	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000080860	SsaCAJNNT020001826.1	29301	71783	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000104010	SsaCAJNNT020002124.1	160422	166704	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000082886	Ssa02	88253180	88261481	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000116315	Ssa02	88150112	88206147	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000039847	Omy13	802059	809296	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000038508	Omy13	1231589	1237688	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000043525	SsaCAJNNT020002468.1	33335	34898	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000099518	Ssa02	90490909	90500178	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000094960	SsaCAJNNT020001949.1	24479	37066	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000113023	Ssa02	85940428	85996622	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000003633	Omy13	28338815	28347901	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000065955	OmyJAAXML020000606.1	39428	50003	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000109860	SsaCAJNNT020000885.1	97156	420028	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000111982	Ssa03	105514513	105625618	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000110296	SsaCAJNNT020003322.1	986433	988448	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000100044	SsaCAJNNT020002484.1	221693	223632	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000084647	SsaCAJNNT020001287.1	301213	302161	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000096115	Ssa02	87717280	87724978	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000050006	Omy27	2881369	2889166	+	177	47	NA	NA	((Omy24,Ssa09),(Omy27,Ssa20))	AORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000118243	SsaCAJNNT020001286.1	72691	126061	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000090494	SsaCAJNNT020004193.1	412009	477599	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000087827	SsaCAJNNT020001653.1	393888	399812	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000088236	SsaCAJNNT020001736.1	45258	46675	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000114760	SsaCAJNNT020000722.1	215583	355882	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000101517	SsaCAJNNT020004193.1	337110	525407	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000106863	SsaCAJNNT020001771.1	3685	30308	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000088050	SsaCAJNNT020004198.1	8208	25820	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000120905	SsaCAJNNT020003322.1	949519	995309	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000112861	Ssa02	87733839	87744380	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000100790	SsaCAJNNT020002183.1	318429	372029	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000098925	SsaCAJNNT020002049.1	457533	459474	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000083094	SsaCAJNNT020002222.1	41846	43483	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000063594	SsaCAJNNT020002115.1	76499	123769	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000098485	SsaCAJNNT020002589.1	56590	58446	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000014679	SsaCAJNNT020001402.1	37865	39165	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000112401	SsaCAJNNT020000874.1	143352	245539	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000086621	SsaCAJNNT020004199.1	803650	820509	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000101467	Ssa02	86297479	86343582	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000074520	Omy13	25856567	25871414	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000060989	Ssa02	86122748	86124754	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000102653	Ssa02	89909615	90176245	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000033074	Omy27	2834104	2840190	+	177	47	NA	NA	((Omy24,Ssa09),(Omy27,Ssa20))	AORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000076476	Omy17	2955628	3135353	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000061226	Omy13	1155428	1161952	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000026704	Omy13	926336	929970	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000053604	Omy13	821232	999543	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000026743	OmyJAAXML020000324.1	40157	41464	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000003547	Omy13	26464808	26471889	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000004689	Omy13	26141170	26154900	+	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	AORe	NA
Ens106s00002.934	Omyk	ENSOMYG00000003596	Omy13	27695054	27703480	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Omyk	ENSOMYG00000075031	Omy17	3037622	3053727	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000107964	SsaCAJNNT020002028.1	13865	41379	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000094187	SsaCAJNNT020002407.1	101047	110787	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000115274	SsaCAJNNT020002040.1	163354	182712	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000091497	SsaCAJNNT020001294.1	114440	120430	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000055825	SsaCAJNNT020000907.1	192159	288034	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000100973	Ssa12	3757967	3799195	-	177	47	NA	NA	((Omy13,Ssa02),(Omy17,Ssa12))	LORe	NA
Ens106s00002.934	Ssal	ENSSSAG00000100665	SsaCAJNNT020001651.1	109971	121395	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000121706	Ssa02	86191156	86323958	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000109259	SsaCAJNNT020004198.1	587872	595724	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000093257	SsaCAJNNT020001807.1	157961	402628	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000114285	Ssa02	89820924	89910155	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000086879	SsaCAJNNT020001768.1	16881	52377	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000094070	SsaCAJNNT020001981.1	357554	363302	+	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000046458	SsaCAJNNT020002115.1	158414	163428	-	177	47	NA	NA	NA	NA	NA
Ens106s00002.934	Ssal	ENSSSAG00000054424	SsaCAJNNT020002589.1	41961	47074	+	177	47	NA	NA	NA	NA	NA
