gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000090657	ENSSSAT00000196423	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090658	ENSSSAT00000169494,ENSSSAT00000175150,ENSSSAT00000176549,ENSSSAT00000186929,ENSSSAT00000196571,ENSSSAT00000203773,ENSSSAT00000225140,ENSSSAT00000234991,ENSSSAT00000235737,ENSSSAT00000250047	4.67	2.03	5.76	5.37	8.25	7.81	9.56	5.80	5.50	6.91	4.48	4.17
ENSSSAG00000090659	ENSSSAT00000212151	0.12	0.00	0.13	0.00	0.23	0.00	0.32	0.00	0.00	0.04	0.09	0.00
ENSSSAG00000090660	ENSSSAT00000231453	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090661	ENSSSAT00000193810	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090662	ENSSSAT00000208167	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090663	ENSSSAT00000221640	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090664	ENSSSAT00000251632	4.41	2.59	2.80	1.74	1.72	3.17	1.84	2.39	1.71	1.92	2.33	2.44
ENSSSAG00000090665	ENSSSAT00000200299,ENSSSAT00000222077,ENSSSAT00000247060	0.71	0.25	0.11	0.50	0.49	0.84	0.49	0.33	0.23	0.50	0.26	0.08
ENSSSAG00000090666	ENSSSAT00000243004	0.00	0.09	0.00	0.44	0.17	0.00	0.17	0.08	0.00	0.00	0.17	0.00
ENSSSAG00000090667	ENSSSAT00000165146	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090668	ENSSSAT00000168460,ENSSSAT00000207205	24.55	24.67	22.93	17.59	14.93	18.65	13.97	19.45	17.04	18.03	17.93	20.31
ENSSSAG00000090669	ENSSSAT00000240113	4.72	8.22	6.04	8.31	9.57	6.14	10.80	11.46	13.75	8.07	8.35	8.39
ENSSSAG00000090670	ENSSSAT00000243305	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090671	ENSSSAT00000165214	0.11	0.24	0.18	0.12	0.14	0.11	0.18	0.16	0.30	0.07	0.22	0.16
ENSSSAG00000090672	ENSSSAT00000186276	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090673	ENSSSAT00000139238	1.35	0.75	0.00	0.38	0.57	0.88	0.18	0.00	0.00	0.18	0.00	0.00
ENSSSAG00000090674	ENSSSAT00000225458	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090675	ENSSSAT00000185554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090676	ENSSSAT00000219254,ENSSSAT00000229143,ENSSSAT00000236415,ENSSSAT00000238265,ENSSSAT00000254595	0.00	0.21	0.00	0.00	0.00	0.13	0.00	0.00	0.23	0.00	0.00	0.46
ENSSSAG00000090677	ENSSSAT00000128624	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090678	ENSSSAT00000211992,ENSSSAT00000212282	10.58	11.73	13.34	12.37	14.96	16.10	11.76	10.51	11.51	11.33	12.07	12.53
ENSSSAG00000090679	ENSSSAT00000244094	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090680	ENSSSAT00000231773	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090681	ENSSSAT00000222046,ENSSSAT00000245354	3.14	4.47	3.99	3.99	4.22	2.53	4.91	2.56	2.82	3.30	3.72	1.63
ENSSSAG00000090682	ENSSSAT00000201211	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090683	ENSSSAT00000186611	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090684	ENSSSAT00000159166,ENSSSAT00000162096,ENSSSAT00000183937,ENSSSAT00000247614,ENSSSAT00000248892	0.00	0.00	0.00	0.00	0.07	0.00	0.07	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090685	ENSSSAT00000223461	0.40	0.22	0.28	0.13	0.29	0.00	0.20	0.24	0.59	0.21	0.20	0.17
ENSSSAG00000090686	ENSSSAT00000216923	0.21	0.10	0.13	0.14	0.27	0.30	0.04	0.26	0.05	0.09	0.00	0.09
ENSSSAG00000090687	ENSSSAT00000200949	0.00	0.75	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090688	ENSSSAT00000247841	4.43	4.64	1.86	1.99	1.12	6.44	2.33	3.78	1.50	2.41	1.76	4.60
ENSSSAG00000090689	ENSSSAT00000164007,ENSSSAT00000249254	1.12	0.36	1.21	0.58	0.24	1.02	0.32	0.33	0.74	0.40	0.20	1.88
ENSSSAG00000090690	ENSSSAT00000019134	6.11	7.44	8.71	7.27	7.90	6.63	7.04	7.97	6.90	7.92	5.63	7.43
ENSSSAG00000090691	ENSSSAT00000175550,ENSSSAT00000184272	1.06	1.84	1.38	1.10	0.89	0.97	1.33	1.05	1.59	1.48	1.00	0.61
ENSSSAG00000090692	ENSSSAT00000159999	2.98	4.85	3.86	4.40	2.84	3.54	4.28	5.15	5.00	1.48	1.86	2.14
ENSSSAG00000090693	ENSSSAT00000237202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090694	ENSSSAT00000182530,ENSSSAT00000182579,ENSSSAT00000183112,ENSSSAT00000193107,ENSSSAT00000196986,ENSSSAT00000225784,ENSSSAT00000230698,ENSSSAT00000233082,ENSSSAT00000252464	8.31	8.81	10.39	10.01	10.01	7.72	14.73	20.39	24.84	9.85	6.50	13.05
ENSSSAG00000090695	ENSSSAT00000216110	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090696	ENSSSAT00000213354	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.29	0.00	0.00	0.00
ENSSSAG00000090697	ENSSSAT00000194781	0.03	0.22	0.23	0.32	0.34	0.03	0.10	0.52	0.26	0.20	0.43	0.10
ENSSSAG00000090698	ENSSSAT00000193125	0.19	0.26	0.07	0.14	0.07	0.13	0.04	0.19	0.17	0.13	0.13	0.16
ENSSSAG00000090699	ENSSSAT00000197211	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090700	ENSSSAT00000237172	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090701	ENSSSAT00000117831,ENSSSAT00000117886,ENSSSAT00000117938,ENSSSAT00000194604,ENSSSAT00000202486,ENSSSAT00000213788,ENSSSAT00000221437,ENSSSAT00000224749,ENSSSAT00000233677,ENSSSAT00000244816	0.91	1.14	1.20	1.55	1.57	1.64	0.97	1.89	1.60	0.88	1.37	2.03
ENSSSAG00000090702	ENSSSAT00000181629,ENSSSAT00000210523,ENSSSAT00000229617	2.79	1.38	1.89	1.79	1.49	2.25	1.98	1.73	1.71	2.37	2.51	2.56
ENSSSAG00000090703	ENSSSAT00000240114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090704	ENSSSAT00000168228	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090705	ENSSSAT00000165241,ENSSSAT00000177475	4.58	5.03	6.52	5.91	5.73	4.45	6.75	6.94	6.05	7.94	6.30	8.48
ENSSSAG00000090706	ENSSSAT00000224560	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090707	ENSSSAT00000115846,ENSSSAT00000226311,ENSSSAT00000249894	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090708	ENSSSAT00000231381,ENSSSAT00000252273	1.25	0.31	0.44	0.78	0.77	0.43	1.03	0.14	0.49	0.00	0.00	0.93
ENSSSAG00000090709	ENSSSAT00000158110,ENSSSAT00000192715	6.24	12.37	13.98	12.30	16.78	7.96	14.69	22.79	24.68	18.06	14.22	10.63
ENSSSAG00000090710	ENSSSAT00000088438,ENSSSAT00000160561,ENSSSAT00000172999	17.38	17.19	25.41	25.01	19.65	16.46	16.83	19.78	16.91	14.46	17.18	13.09
ENSSSAG00000090711	ENSSSAT00000209870	0.47	0.06	0.05	1.15	0.51	0.09	0.71	0.00	1.83	1.00	0.40	0.00
ENSSSAG00000090712	ENSSSAT00000198998	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090713	ENSSSAT00000160165,ENSSSAT00000170462	0.06	0.03	0.00	0.12	0.00	0.06	0.03	0.00	0.03	0.06	0.00	0.06
ENSSSAG00000090714	ENSSSAT00000164977	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090715	ENSSSAT00000164357,ENSSSAT00000209596,ENSSSAT00000223958,ENSSSAT00000238689,ENSSSAT00000252792	1.00	1.41	1.24	0.67	0.66	0.29	0.28	0.54	1.07	0.84	0.73	0.47
ENSSSAG00000090716	ENSSSAT00000193242	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090717	ENSSSAT00000178384,ENSSSAT00000183166,ENSSSAT00000199636,ENSSSAT00000236999	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090718	ENSSSAT00000167846,ENSSSAT00000200133,ENSSSAT00000202000,ENSSSAT00000210458,ENSSSAT00000216279	0.00	0.00	0.03	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090719	ENSSSAT00000174442,ENSSSAT00000181052	0.43	0.08	0.04	0.77	0.42	0.15	0.93	0.00	0.85	0.62	0.00	0.02
ENSSSAG00000090720	ENSSSAT00000169400,ENSSSAT00000239008	4.95	8.39	8.09	8.65	12.83	4.46	11.71	8.01	19.63	7.13	6.64	3.50
ENSSSAG00000090721	ENSSSAT00000247816	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090722	ENSSSAT00000225418	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090723	ENSSSAT00000197142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090724	ENSSSAT00000214797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090725	ENSSSAT00000159535,ENSSSAT00000234897	0.00	0.14	0.00	0.00	0.00	0.07	0.07	0.06	0.07	0.00	0.00	0.07
ENSSSAG00000090726	ENSSSAT00000236587	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090727	ENSSSAT00000139329,ENSSSAT00000153595,ENSSSAT00000153649,ENSSSAT00000153659,ENSSSAT00000160170,ENSSSAT00000174413,ENSSSAT00000234650,ENSSSAT00000247250,ENSSSAT00000248664,ENSSSAT00000250079	8.27	10.09	14.93	9.89	10.24	11.43	11.72	13.25	14.00	11.50	10.15	18.55
ENSSSAG00000090728	ENSSSAT00000124500	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090729	ENSSSAT00000169622,ENSSSAT00000244247	0.91	0.50	0.30	0.00	0.00	0.73	0.00	0.08	0.04	0.00	0.33	0.15
ENSSSAG00000090730	ENSSSAT00000162358,ENSSSAT00000213568,ENSSSAT00000234479	3.52	2.87	2.48	3.34	5.58	3.39	4.38	1.21	4.20	0.00	2.74	0.00
ENSSSAG00000090731	ENSSSAT00000215449	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090732	ENSSSAT00000205612	0.03	0.00	0.00	0.00	0.03	0.09	0.12	0.00	0.00	0.00	0.03	0.00
ENSSSAG00000090733	ENSSSAT00000185892	0.25	0.06	0.26	0.42	0.36	0.14	0.63	0.48	0.22	0.26	0.06	0.66
ENSSSAG00000090734	ENSSSAT00000004910	0.08	0.39	0.39	0.17	0.14	0.08	0.16	0.39	0.14	0.12	0.05	0.29
ENSSSAG00000090735	ENSSSAT00000064623,ENSSSAT00000064678,ENSSSAT00000064727,ENSSSAT00000064750,ENSSSAT00000064809,ENSSSAT00000107917,ENSSSAT00000108075,ENSSSAT00000108136,ENSSSAT00000189103	0.13	0.22	0.14	0.13	0.25	0.31	0.32	0.57	0.61	0.40	0.42	0.28
ENSSSAG00000090736	ENSSSAT00000253056	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090737	ENSSSAT00000203078	0.34	0.40	0.42	0.34	0.34	0.35	0.71	0.39	0.36	0.40	0.43	0.37
ENSSSAG00000090738	ENSSSAT00000225170	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090739	ENSSSAT00000178040,ENSSSAT00000213496,ENSSSAT00000221381,ENSSSAT00000222483,ENSSSAT00000243479,ENSSSAT00000253343	13.57	11.89	11.69	11.05	18.36	9.11	11.59	14.82	21.03	10.45	4.40	10.88
ENSSSAG00000090740	ENSSSAT00000192797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090741	ENSSSAT00000185233,ENSSSAT00000191168,ENSSSAT00000229711	5.68	6.89	6.16	4.93	5.63	5.61	5.01	6.31	5.69	6.04	5.52	6.14
ENSSSAG00000090742	ENSSSAT00000183922,ENSSSAT00000213927	1.91	3.33	1.25	0.59	0.99	0.72	1.20	1.11	1.28	0.92	0.66	0.37
ENSSSAG00000090743	ENSSSAT00000180595	0.36	0.28	0.16	0.39	0.39	0.26	0.27	0.05	0.06	0.11	0.32	0.17
ENSSSAG00000090744	ENSSSAT00000180025,ENSSSAT00000196116,ENSSSAT00000230070	1.67	0.89	2.93	1.03	3.26	0.68	0.30	0.24	0.94	4.41	0.24	0.07
ENSSSAG00000090745	ENSSSAT00000157087,ENSSSAT00000157296,ENSSSAT00000163574,ENSSSAT00000164836,ENSSSAT00000172326,ENSSSAT00000176255,ENSSSAT00000178643,ENSSSAT00000186057,ENSSSAT00000190731,ENSSSAT00000248411	4.70	3.47	1.69	4.60	3.00	4.14	2.13	1.39	6.29	3.30	2.37	2.79
ENSSSAG00000090746	ENSSSAT00000151082	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090747	ENSSSAT00000179045	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090748	ENSSSAT00000241378	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090749	ENSSSAT00000159731,ENSSSAT00000159871,ENSSSAT00000194078,ENSSSAT00000196092,ENSSSAT00000201295,ENSSSAT00000216823,ENSSSAT00000228628,ENSSSAT00000237389,ENSSSAT00000239409,ENSSSAT00000253805	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090750	ENSSSAT00000238490	0.00	0.03	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090751	ENSSSAT00000166122,ENSSSAT00000178790,ENSSSAT00000191091	0.23	0.51	0.17	0.06	0.06	0.06	0.30	0.24	0.13	0.55	0.18	0.19
ENSSSAG00000090752	ENSSSAT00000228543	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090753	ENSSSAT00000192234	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090754	ENSSSAT00000186347,ENSSSAT00000227484,ENSSSAT00000239936,ENSSSAT00000248024	0.00	0.00	0.00	0.03	0.03	0.00	0.09	0.03	0.00	0.00	0.00	0.00
ENSSSAG00000090755	ENSSSAT00000244330	0.00	0.00	6.60	1.28	0.00	4.27	4.58	4.47	3.45	1.96	1.13	3.51
ENSSSAG00000090756	ENSSSAT00000246518	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090757	ENSSSAT00000229101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090758	ENSSSAT00000129398,ENSSSAT00000170013,ENSSSAT00000187918,ENSSSAT00000195778,ENSSSAT00000214056,ENSSSAT00000216244,ENSSSAT00000219755,ENSSSAT00000225154,ENSSSAT00000241490,ENSSSAT00000252346	14.25	15.48	15.53	14.45	21.63	15.20	20.39	18.24	22.34	15.50	11.08	16.80
ENSSSAG00000090759	ENSSSAT00000097956,ENSSSAT00000165313,ENSSSAT00000178530	0.00	0.00	0.30	1.00	0.27	0.88	0.95	0.49	1.24	0.47	0.00	1.50
ENSSSAG00000090760	ENSSSAT00000231777	0.08	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.27	0.08	0.00	0.00
ENSSSAG00000090761	ENSSSAT00000230671	6.10	9.20	9.45	9.35	9.81	5.39	8.75	8.38	7.74	10.96	10.08	6.13
ENSSSAG00000090762	ENSSSAT00000202907,ENSSSAT00000224754,ENSSSAT00000239428,ENSSSAT00000239993,ENSSSAT00000252183	0.25	0.29	0.15	0.21	0.42	0.35	0.09	0.69	0.34	0.25	0.18	0.43
ENSSSAG00000090763	ENSSSAT00000178902	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090764	ENSSSAT00000183132	22.60	20.38	22.26	19.70	18.35	21.60	15.91	20.20	16.87	20.95	21.05	19.31
ENSSSAG00000090765	ENSSSAT00000060014,ENSSSAT00000060085,ENSSSAT00000060116,ENSSSAT00000060166,ENSSSAT00000060194,ENSSSAT00000122501,ENSSSAT00000122663	7.99	11.16	11.17	4.83	1.93	3.21	5.47	3.58	2.31	2.96	2.14	3.50
ENSSSAG00000090766	ENSSSAT00000165298	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090767	ENSSSAT00000167440,ENSSSAT00000181730,ENSSSAT00000198481,ENSSSAT00000215668,ENSSSAT00000235609	0.09	0.08	0.08	0.16	0.28	0.08	0.37	0.07	0.22	0.17	0.37	0.09
ENSSSAG00000090768	ENSSSAT00000213992,ENSSSAT00000215679,ENSSSAT00000250052	5.15	10.21	7.01	7.59	9.26	7.68	7.75	7.57	5.91	6.75	5.07	4.46
ENSSSAG00000090769	ENSSSAT00000206933	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090770	ENSSSAT00000162641	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090771	ENSSSAT00000245488	1.24	2.08	1.57	1.19	1.91	1.52	0.90	0.66	3.78	1.62	0.23	0.00
ENSSSAG00000090772	ENSSSAT00000207315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090773	ENSSSAT00000191450	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090774	ENSSSAT00000222609	83.65	81.03	98.44	97.56	93.79	106.82	93.47	98.03	75.17	78.53	96.25	96.52
ENSSSAG00000090775	ENSSSAT00000194807,ENSSSAT00000204616,ENSSSAT00000205167,ENSSSAT00000231130	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090776	ENSSSAT00000190247,ENSSSAT00000195849,ENSSSAT00000229635	9.65	12.77	16.35	15.68	15.31	14.35	20.46	23.14	29.15	13.45	12.51	11.31
ENSSSAG00000090777	ENSSSAT00000165920	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090778	ENSSSAT00000163718	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090779	ENSSSAT00000245331	0.10	0.00	0.00	0.12	0.00	0.11	0.11	0.00	1.35	0.11	0.00	0.00
ENSSSAG00000090780	ENSSSAT00000201472,ENSSSAT00000215523	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.03	0.00	0.00
ENSSSAG00000090781	ENSSSAT00000230509	0.02	0.02	0.09	0.14	0.14	0.02	0.00	0.04	0.05	0.02	0.02	0.11
ENSSSAG00000090782	ENSSSAT00000232400	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090783	ENSSSAT00000185205	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00
ENSSSAG00000090784	ENSSSAT00000192781	8.78	15.87	11.92	15.14	17.41	8.42	21.32	25.39	20.44	18.36	17.51	13.12
ENSSSAG00000090785	ENSSSAT00000191322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090786	ENSSSAT00000127136,ENSSSAT00000219932	0.00	0.29	0.09	0.19	0.29	0.09	0.28	0.54	0.21	0.09	0.09	0.19
ENSSSAG00000090787	ENSSSAT00000169139	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090788	ENSSSAT00000162997,ENSSSAT00000233532	0.19	0.32	0.30	0.01	0.32	0.11	0.13	0.07	0.20	0.10	0.10	0.12
ENSSSAG00000090789	ENSSSAT00000174790,ENSSSAT00000196722,ENSSSAT00000233428,ENSSSAT00000242969,ENSSSAT00000247071	1.02	0.80	0.63	0.55	0.40	0.68	1.25	0.73	0.87	1.01	0.99	0.50
ENSSSAG00000090790	ENSSSAT00000205203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090791	ENSSSAT00000211528	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090792	ENSSSAT00000157551	39.72	23.77	40.59	34.33	30.46	60.53	45.15	49.35	79.91	69.45	68.31	18.21
ENSSSAG00000090793	ENSSSAT00000171088	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090794	ENSSSAT00000165262,ENSSSAT00000173526	0.08	0.53	0.14	0.10	0.14	0.03	0.26	0.11	0.18	0.17	0.05	0.32
ENSSSAG00000090795	ENSSSAT00000190343,ENSSSAT00000190791	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.01	0.02	0.03	0.00	0.01
ENSSSAG00000090796	ENSSSAT00000248723	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090797	ENSSSAT00000195139,ENSSSAT00000213884,ENSSSAT00000220070,ENSSSAT00000243104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090798	ENSSSAT00000097112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090799	ENSSSAT00000216195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090800	ENSSSAT00000165870	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090801	ENSSSAT00000166515,ENSSSAT00000184568,ENSSSAT00000197171,ENSSSAT00000222266,ENSSSAT00000222820	0.00	0.17	0.00	1.39	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090802	ENSSSAT00000193010	0.04	0.08	0.15	0.00	0.00	0.00	0.00	0.07	0.33	0.00	0.15	0.08
ENSSSAG00000090803	ENSSSAT00000083055,ENSSSAT00000157623,ENSSSAT00000158765,ENSSSAT00000186604,ENSSSAT00000227019,ENSSSAT00000246794	3.48	3.49	3.76	3.50	3.67	3.51	3.26	3.52	3.16	4.02	3.20	3.39
ENSSSAG00000090804	ENSSSAT00000162861	37.88	38.37	36.94	30.49	29.38	31.13	29.24	36.89	30.30	34.61	30.36	35.38
ENSSSAG00000090805	ENSSSAT00000228102	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090806	ENSSSAT00000183307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090807	ENSSSAT00000159013,ENSSSAT00000167017,ENSSSAT00000180717,ENSSSAT00000196719,ENSSSAT00000208775,ENSSSAT00000219034,ENSSSAT00000228653	1.42	1.38	1.63	1.50	1.03	1.41	1.02	0.85	1.83	0.66	0.75	1.28
ENSSSAG00000090808	ENSSSAT00000160973	1.25	1.18	1.36	0.77	1.32	0.81	0.82	1.25	0.41	1.47	1.09	1.99
ENSSSAG00000090809	ENSSSAT00000254730	0.14	0.10	0.03	0.25	0.33	0.09	0.79	0.20	0.39	1.68	0.58	0.33
ENSSSAG00000090810	ENSSSAT00000239762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090811	ENSSSAT00000203512,ENSSSAT00000218550	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090812	ENSSSAT00000244317	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090813	ENSSSAT00000233600	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000090814	ENSSSAT00000164378,ENSSSAT00000172885,ENSSSAT00000223527,ENSSSAT00000225628,ENSSSAT00000243148	0.45	0.09	0.00	0.00	0.12	0.00	0.36	0.22	0.13	0.23	0.00	0.08
ENSSSAG00000090815	ENSSSAT00000171089	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
