chromosome	pos_start	pos_end	age	category
1	124068684	124068707	Euteleostomi	shared
13	103284699	103284722	Euteleostomi	shared
1	124068661	124068679	Euteleostomi	shared
13	103284727	103284745	Euteleostomi	shared
1	124112798	124112860	Actinopteri	shared
13	103243249	103243311	Actinopteri	shared
1	124181000	124181096	Teleostei	shared
13	103134806	103134902	Teleostei	shared
1	124335980	124336015	Teleostei	shared
13	102973899	102973938	Teleostei	shared
1	124615416	124615433	Teleostei	shared
13	102579341	102579358	Teleostei	shared
1	125120832	125120850	Teleostei	shared
13	102062930	102062948	Teleostei	shared
1	125129267	125129293	Teleostei	shared
13	102051405	102051431	Teleostei	shared
1	125731636	125731681	Teleostei	shared
13	101100883	101100928	Teleostei	shared
1	126341214	126341245	Clupeocephala	shared
13	100328505	100328536	Clupeocephala	shared
1	126341196	126341215	Clupeocephala	shared
13	100328535	100328554	Clupeocephala	shared
1	128113651	128113679	Teleostei	shared
13	98545832	98545858	Teleostei	shared
1	128113626	128113652	Teleostei	shared
13	98545857	98545883	Teleostei	shared
1	128113585	128113627	Teleostei	shared
13	98545882	98545924	Teleostei	shared
1	129240941	129240964	Neopterygii	shared
13	97193238	97193261	Neopterygii	shared
1	129240584	129240619	Neopterygii	shared
13	97193535	97193570	Neopterygii	shared
1	129240573	129240585	Neopterygii	shared
13	97193569	97193580	Neopterygii	shared
1	129524962	129524983	Actinopteri	shared
13	96592162	96592183	Actinopteri	shared
1	129524715	129524758	Euteleostomi	shared
13	96592339	96592382	Euteleostomi	shared
1	130347780	130347815	Actinopteri	shared
13	95644289	95644324	Actinopteri	shared
1	130380544	130380564	Teleostei	shared
13	95598094	95598114	Teleostei	shared
1	130840087	130840178	Teleostei	shared
13	95012665	95012758	Teleostei	shared
1	130928118	130928288	Protacanthopterygii	shared
13	94911651	94911824	Protacanthopterygii	shared
1	131372070	131372166	Teleostei	shared
13	94339609	94339708	Teleostei	shared
1	131371595	131371614	Teleostei	shared
13	94340406	94340425	Teleostei	shared
1	131371574	131371596	Teleostei	shared
13	94340424	94340446	Teleostei	shared
1	131371539	131371575	Teleostei	shared
13	94340445	94340481	Teleostei	shared
1	131371410	131371469	Protacanthopterygii	shared
13	94340545	94340604	Protacanthopterygii	shared
1	132423179	132423223	Clupeocephala	shared
13	93123194	93123238	Clupeocephala	shared
1	132422821	132422832	Teleostei	shared
13	93123820	93123831	Teleostei	shared
1	132422672	132422719	Teleostei	shared
13	93123953	93124000	Teleostei	shared
1	132422646	132422673	Teleostei	shared
13	93123999	93124023	Teleostei	shared
1	132499415	132499427	Clupeocephala	shared
13	93030645	93030657	Clupeocephala	shared
1	132660847	132660917	Teleostei	shared
13	92810359	92810429	Teleostei	shared
1	132660822	132660838	Teleostei	shared
13	92810438	92810454	Teleostei	shared
1	133369872	133369998	Teleostei	shared
13	91983684	91983810	Teleostei	shared
1	133369813	133369873	Teleostei	shared
13	91983809	91983869	Teleostei	shared
1	134379504	134379553	Euteleosteomorpha	shared
13	90992927	90992976	Euteleosteomorpha	shared
1	134379404	134379505	Euteleosteomorpha	shared
13	90992975	90993076	Euteleosteomorpha	shared
1	134379373	134379405	Euteleosteomorpha	shared
13	90993075	90993107	Euteleosteomorpha	shared
1	134379078	134379241	Protacanthopterygii	shared
13	90993232	90993395	Protacanthopterygii	shared
1	134379057	134379073	Clupeocephala	shared
13	90993400	90993416	Clupeocephala	shared
1	134378893	134378973	Protacanthopterygii	shared
13	90993496	90993576	Protacanthopterygii	shared
1	134999300	134999370	Teleostei	shared
11	87593957	87594032	Teleostei	shared
1	135416254	135416302	Euteleosteomorpha	shared
11	87078018	87078066	Euteleosteomorpha	shared
1	135416020	135416220	Euteleosteomorpha	shared
11	87078100	87078296	Euteleosteomorpha	shared
1	135437867	135437912	Teleostei	shared
11	87055040	87055085	Teleostei	shared
1	135437580	135437605	Teleostei	shared
11	87055250	87055275	Teleostei	shared
1	135445071	135445107	Neopterygii	shared
11	87047955	87047988	Neopterygii	shared
1	135445028	135445072	Euteleostomi	shared
11	87047987	87048031	Euteleostomi	shared
1	135445008	135445029	Euteleostomi	shared
11	87048030	87048051	Euteleostomi	shared
1	135963476	135963524	Clupeocephala	shared
11	86525802	86525850	Clupeocephala	shared
1	135963451	135963477	Clupeocephala	shared
11	86525849	86525875	Clupeocephala	shared
1	136073675	136073730	Clupeocephala	shared
11	86364166	86364211	Clupeocephala	shared
1	137458637	137458650	Teleostei	shared
11	84982621	84982634	Teleostei	shared
1	137457236	137457247	Teleostei	shared
11	84983164	84983175	Teleostei	shared
1	137457151	137457213	Teleostei	shared
11	84983203	84983265	Teleostei	shared
1	137823426	137823585	Neopterygii	shared
11	84697266	84697425	Neopterygii	shared
1	137823326	137823338	Teleostei	shared
11	84697513	84697525	Teleostei	shared
1	137823091	137823116	Teleostei	shared
11	84697770	84697795	Teleostei	shared
1	137822754	137822768	Teleostei	shared
11	84698099	84698113	Teleostei	shared
1	137822722	137822750	Teleostei	shared
11	84698117	84698145	Teleostei	shared
1	137822617	137822635	Teleostei	shared
11	84698242	84698260	Teleostei	shared
1	138037057	138037076	Teleostei	shared
11	84519485	84519504	Teleostei	shared
1	138037027	138037040	Teleostei	shared
11	84519522	84519535	Teleostei	shared
1	138036976	138037003	Teleostei	shared
11	84519559	84519586	Teleostei	shared
1	138036793	138036833	Actinopteri	shared
11	84519675	84519715	Actinopteri	shared
1	138036673	138036794	Actinopteri	shared
11	84519714	84519835	Actinopteri	shared
1	138036560	138036671	Euteleostomi	shared
11	84519837	84519948	Euteleostomi	shared
1	138036480	138036496	Teleostei	shared
11	84520002	84520018	Teleostei	shared
1	138324849	138324862	Euteleosteomorpha	shared
11	84174132	84174145	Euteleosteomorpha	shared
1	139015251	139015273	Teleostei	shared
11	83404599	83404621	Teleostei	shared
1	139015106	139015220	Teleostei	shared
11	83404652	83404766	Teleostei	shared
1	139017118	139017140	Clupeocephala	shared
11	83397231	83397253	Clupeocephala	shared
1	139017096	139017119	Clupeocephala	shared
11	83397252	83397275	Clupeocephala	shared
1	139032226	139032268	Neopterygii	shared
11	83380025	83380067	Neopterygii	shared
1	139031926	139031994	Actinopteri	shared
11	83380321	83380389	Actinopteri	shared
1	139036883	139036895	Actinopteri	shared
11	83376459	83376471	Actinopteri	shared
1	139036859	139036884	Actinopteri	shared
11	83376470	83376495	Actinopteri	shared
1	139036846	139036860	Actinopteri	shared
11	83376494	83376508	Actinopteri	shared
1	139036103	139036136	Clupeocephala	shared
11	83378499	83378532	Clupeocephala	shared
1	139036049	139036102	Clupeocephala	shared
11	83378533	83378586	Clupeocephala	shared
1	139176606	139176622	Neopterygii	shared
11	83230877	83230893	Neopterygii	shared
1	139511306	139511336	Teleostei	shared
11	82863787	82863817	Teleostei	shared
1	139510893	139510948	Teleostei	shared
11	82864184	82864239	Teleostei	shared
1	139514612	139514746	Euteleosteomorpha	shared
11	82860484	82860619	Euteleosteomorpha	shared
1	139632674	139632686	Teleostei	shared
11	82779636	82779648	Teleostei	shared
1	139632644	139632675	Actinopteri	shared
11	82779647	82779678	Actinopteri	shared
1	139632629	139632645	Actinopteri	shared
11	82779677	82779693	Actinopteri	shared
1	139632497	139632630	Actinopteri	shared
11	82779692	82779828	Actinopteri	shared
1	139632477	139632498	Actinopteri	shared
11	82779827	82779848	Actinopteri	shared
1	140587769	140587860	Neopterygii	shared
11	81640589	81640680	Neopterygii	shared
1	140587366	140587399	Teleostei	shared
11	81640393	81640426	Teleostei	shared
1	140658970	140658987	Teleostei	shared
11	81551956	81551973	Teleostei	shared
1	140658797	140658900	Neopterygii	shared
11	81552022	81552125	Neopterygii	shared
1	141104244	141104263	Teleostei	shared
11	80968835	80968853	Teleostei	shared
1	141261875	141261999	Teleostei	shared
11	80815391	80815521	Teleostei	shared
1	141429426	141429470	Actinopteri	shared
11	80659937	80659981	Actinopteri	shared
1	141429411	141429423	Actinopteri	shared
11	80659984	80659996	Actinopteri	shared
1	141466949	141466960	Teleostei	shared
11	80618645	80618656	Teleostei	shared
1	142094572	142094589	Teleostei	shared
11	79999115	79999132	Teleostei	shared
1	142094296	142094328	Teleostei	shared
11	79999317	79999349	Teleostei	shared
1	142094284	142094297	Teleostei	shared
11	79999348	79999361	Teleostei	shared
1	142094233	142094285	Teleostei	shared
11	79999360	79999412	Teleostei	shared
1	142119998	142120209	Clupeocephala	shared
11	79971798	79972009	Clupeocephala	shared
1	142119664	142119694	Teleostei	shared
11	79972311	79972341	Teleostei	shared
1	142119624	142119665	Teleostei	shared
11	79972340	79972382	Teleostei	shared
1	142680202	142680262	Teleostei	shared
11	79387401	79387462	Teleostei	shared
1	142680191	142680203	Teleostei	shared
11	79387461	79387473	Teleostei	shared
1	146441129	146441147	Actinopteri	shared
11	75632271	75632289	Actinopteri	shared
1	146441005	146441036	Actinopteri	shared
11	75632383	75632414	Actinopteri	shared
1	146743824	146743854	Actinopteri	shared
11	75379384	75379414	Actinopteri	shared
1	147586053	147586075	Teleostei	shared
11	74370391	74370413	Teleostei	shared
1	147585767	147585791	Teleostei	shared
11	74370697	74370724	Teleostei	shared
1	147585662	147585682	Euteleosteomorpha	shared
11	74370806	74370826	Euteleosteomorpha	shared
1	147611040	147611055	Teleostei	shared
11	74353974	74353989	Teleostei	shared
1	147610930	147611041	Clupeocephala	shared
11	74353988	74354094	Clupeocephala	shared
1	147619153	147619181	Clupeocephala	shared
11	74344330	74344357	Clupeocephala	shared
1	147619076	147619150	Clupeocephala	shared
11	74344360	74344434	Clupeocephala	shared
1	147618972	147619053	Clupeocephala	shared
11	74344457	74344537	Clupeocephala	shared
1	147618909	147618922	Euteleosteomorpha	shared
11	74344586	74344599	Euteleosteomorpha	shared
1	147618457	147618473	Teleostei	shared
11	74345738	74345754	Teleostei	shared
1	147618440	147618458	Teleostei	shared
11	74345753	74345771	Teleostei	shared
1	147618324	147618356	Neopterygii	shared
11	74345864	74345896	Neopterygii	shared
1	148312175	148312207	Clupeocephala	shared
11	73718129	73718162	Clupeocephala	shared
1	148347685	148347700	Actinopteri	shared
11	73682273	73682288	Actinopteri	shared
1	148347618	148347643	Actinopteri	shared
11	73682338	73682363	Actinopteri	shared
1	148347542	148347553	Actinopteri	shared
11	73682437	73682448	Actinopteri	shared
1	148347133	148347178	Teleostei	shared
11	73682828	73682873	Teleostei	shared
1	148347106	148347118	Teleostei	shared
11	73682888	73682900	Teleostei	shared
1	148368701	148368715	Actinopteri	shared
11	73660569	73660583	Actinopteri	shared
1	148368625	148368672	Actinopteri	shared
11	73660629	73660676	Actinopteri	shared
1	148396562	148396584	Teleostei	shared
11	73624305	73624327	Teleostei	shared
1	148396488	148396557	Teleostei	shared
11	73624332	73624405	Teleostei	shared
1	148396461	148396489	Teleostei	shared
11	73624404	73624432	Teleostei	shared
1	149741138	149741162	Protacanthopterygii	shared
11	72242772	72242796	Protacanthopterygii	shared
1	149783027	149783068	Euteleosteomorpha	shared
11	72176256	72176297	Euteleosteomorpha	shared
1	149782997	149783027	Euteleosteomorpha	shared
11	72176300	72176331	Euteleosteomorpha	shared
1	151016845	151016862	Euteleosteomorpha	shared
11	70640564	70640581	Euteleosteomorpha	shared
1	151016808	151016846	Euteleosteomorpha	shared
11	70640580	70640618	Euteleosteomorpha	shared
1	151016796	151016809	Euteleosteomorpha	shared
11	70640617	70640630	Euteleosteomorpha	shared
1	151016762	151016773	Clupeocephala	shared
11	70640663	70640674	Clupeocephala	shared
1	151016683	151016756	Clupeocephala	shared
11	70640680	70640753	Clupeocephala	shared
1	151036978	151036996	Teleostei	shared
11	70612283	70612301	Teleostei	shared
1	151036947	151036979	Teleostei	shared
11	70612300	70612332	Teleostei	shared
1	151036905	151036948	Teleostei	shared
11	70612331	70612374	Teleostei	shared
1	153199364	153199380	Clupeocephala	shared
11	68467866	68467882	Clupeocephala	shared
1	153199148	153199178	Clupeocephala	shared
11	68467988	68468020	Clupeocephala	shared
1	153774807	153774845	Teleostei	shared
11	67736504	67736542	Teleostei	shared
1	153774755	153774787	Teleostei	shared
11	67736562	67736594	Teleostei	shared
1	153774734	153774756	Teleostei	shared
11	67736593	67736615	Teleostei	shared
1	153774664	153774735	Teleostei	shared
11	67736614	67736691	Teleostei	shared
1	154376285	154376379	Euteleosteomorpha	shared
11	67002522	67002617	Euteleosteomorpha	shared
1	156011055	156011066	Teleostei	shared
11	65127266	65127277	Teleostei	shared
1	156460438	156460465	Euteleosteomorpha	shared
11	64642783	64642810	Euteleosteomorpha	shared
1	157072799	157072846	Teleostei	shared
11	59258951	59258999	Teleostei	shared
1	157072142	157072156	Euteleosteomorpha	shared
11	59259688	59259702	Euteleosteomorpha	shared
1	157088764	157088816	Euteleosteomorpha	shared
11	59243778	59243830	Euteleosteomorpha	shared
1	157093674	157093716	Protacanthopterygii	shared
11	59226193	59226235	Protacanthopterygii	shared
1	157816441	157816458	Teleostei	shared
11	60014834	60014851	Teleostei	shared
1	157816393	157816442	Teleostei	shared
11	60014786	60014835	Teleostei	shared
1	159820553	159820584	Teleostei	shared
11	62068004	62068035	Teleostei	shared
1	159820259	159820297	Teleostei	shared
11	62067702	62067740	Teleostei	shared
1	159824762	159824891	Actinopteri	shared
11	62075703	62075832	Actinopteri	shared
1	159834603	159834635	Teleostei	shared
11	62094536	62094564	Teleostei	shared
1	159849454	159849482	Actinopteri	shared
11	62116948	62116976	Actinopteri	shared
1	159849328	159849383	Actinopteri	shared
11	62116819	62116874	Actinopteri	shared
1	159854013	159854039	Teleostei	shared
11	62120800	62120826	Teleostei	shared
1	159860529	159860551	Teleostei	shared
11	62133779	62133801	Teleostei	shared
1	159860192	159860355	Actinopteri	shared
11	62133459	62133622	Actinopteri	shared
1	160588080	160588101	Teleostei	shared
11	62167115	62167136	Teleostei	shared
1	160599344	160599487	Actinopteri	shared
11	62174567	62174710	Actinopteri	shared
1	160725000	160725045	Teleostei	shared
11	62292674	62292721	Teleostei	shared
1	160724503	160724559	Neopterygii	shared
11	62292196	62292252	Neopterygii	shared
1	160808435	160808475	Euteleostomi	shared
11	62569915	62569955	Euteleostomi	shared
1	164148860	164148967	Neopterygii	shared
11	63891852	63891959	Neopterygii	shared
1	164148807	164148852	Neopterygii	shared
11	63891798	63891843	Neopterygii	shared
1	164153922	164153948	Neopterygii	shared
11	63904195	63904221	Neopterygii	shared
1	168811180	168811197	Teleostei	shared
13	107891833	107891852	Teleostei	shared
1	168811101	168811131	Teleostei	shared
13	107891754	107891784	Teleostei	shared
1	168825750	168825814	Actinopteri	shared
13	107918778	107918842	Actinopteri	shared
1	168825714	168825744	Actinopteri	shared
13	107918742	107918772	Actinopteri	shared
1	168825559	168825594	Actinopteri	shared
13	107918541	107918576	Actinopteri	shared
1	168825008	168825026	Teleostei	shared
13	107917447	107917465	Teleostei	shared
1	168989890	168989956	Euteleostomi	shared
13	108103267	108103333	Euteleostomi	shared
1	168989844	168989891	Euteleostomi	shared
13	108103222	108103268	Euteleostomi	shared
1	168994327	168994422	Euteleostomi	shared
13	108105002	108105099	Euteleostomi	shared
1	169310597	169310632	Teleostei	shared
13	108318786	108318821	Teleostei	shared
1	169310564	169310598	Teleostei	shared
13	108318752	108318787	Teleostei	shared
1	20358199	20358272	Teleostei	shared
9	14605681	14605756	Teleostei	shared
1	20358796	20358824	Neopterygii	shared
9	14607507	14607535	Neopterygii	shared
1	20359121	20359145	Protacanthopterygii	shared
9	14607806	14607830	Protacanthopterygii	shared
1	23660302	23660346	Euteleosteomorpha	shared
9	17595915	17595959	Euteleosteomorpha	shared
1	23660505	23660561	Euteleosteomorpha	shared
9	17596115	17596171	Euteleosteomorpha	shared
1	35438139	35438208	Actinopteri	shared
9	29952690	29952759	Actinopteri	shared
1	35437986	35437999	Actinopteri	shared
9	29952468	29952481	Actinopteri	shared
1	35437936	35437986	Actinopteri	shared
9	29952418	29952468	Actinopteri	shared
1	38765594	38765670	Teleostei	shared
9	33420513	33420589	Teleostei	shared
1	38765446	38765486	Teleostei	shared
9	33420391	33420431	Teleostei	shared
1	38764598	38764712	Neopterygii	shared
9	33419690	33419804	Neopterygii	shared
1	38764353	38764447	Neopterygii	shared
9	33419456	33419550	Neopterygii	shared
1	38783388	38783427	Teleostei	shared
9	33452396	33452435	Teleostei	shared
1	41556362	41556376	Actinopteri	shared
9	36382038	36382052	Actinopteri	shared
1	51285553	51285583	Teleostei	shared
18	7252907	7252937	Teleostei	shared
1	51285501	51285513	Teleostei	shared
18	7252854	7252866	Teleostei	shared
1	51852101	51852118	Actinopteri	shared
18	7819335	7819352	Actinopteri	shared
1	51852055	51852074	Actinopteri	shared
18	7819271	7819290	Actinopteri	shared
1	51851915	51852056	Actinopteri	shared
18	7819131	7819272	Actinopteri	shared
1	51851893	51851904	Actinopteri	shared
18	7819109	7819120	Actinopteri	shared
1	51851807	51851821	Actinopteri	shared
18	7819024	7819038	Actinopteri	shared
1	51910815	51910837	Clupeocephala	shared
18	7853132	7853157	Clupeocephala	shared
1	51910800	51910811	Clupeocephala	shared
18	7853117	7853128	Clupeocephala	shared
1	51910739	51910771	Clupeocephala	shared
18	7853052	7853084	Clupeocephala	shared
1	51910723	51910740	Clupeocephala	shared
18	7853036	7853053	Clupeocephala	shared
1	51910691	51910724	Clupeocephala	shared
18	7853004	7853037	Clupeocephala	shared
1	51910630	51910692	Clupeocephala	shared
18	7852939	7853005	Clupeocephala	shared
1	54476561	54476600	Teleostei	shared
18	10419847	10419886	Teleostei	shared
1	54476529	54476562	Teleostei	shared
18	10419815	10419848	Teleostei	shared
1	54476502	54476530	Teleostei	shared
18	10419788	10419816	Teleostei	shared
1	54476392	54476432	Actinopteri	shared
18	10419678	10419718	Actinopteri	shared
1	54499286	54499304	Actinopteri	shared
18	10454653	10454671	Actinopteri	shared
1	54499252	54499267	Actinopteri	shared
18	10454619	10454634	Actinopteri	shared
1	54499188	54499218	Euteleostomi	shared
18	10454552	10454582	Euteleostomi	shared
1	54499005	54499189	Euteleostomi	shared
18	10454368	10454553	Euteleostomi	shared
1	54498689	54498748	Euteleostomi	shared
18	10454057	10454116	Euteleostomi	shared
1	54552842	54552944	Euteleosteomorpha	shared
18	10516508	10516610	Euteleosteomorpha	shared
1	54651104	54651167	Actinopteri	shared
18	10631670	10631733	Actinopteri	shared
1	54650948	54650961	Actinopteri	shared
18	10631507	10631520	Actinopteri	shared
1	54650923	54650936	Actinopteri	shared
18	10631482	10631495	Actinopteri	shared
1	55019629	55019705	Neopterygii	shared
18	11039148	11039226	Neopterygii	shared
1	55026755	55026797	Neopterygii	shared
18	11052465	11052509	Neopterygii	shared
1	55026826	55026857	Neopterygii	shared
18	11052548	11052576	Neopterygii	shared
1	55026863	55026876	Neopterygii	shared
18	11052582	11052595	Neopterygii	shared
1	55026881	55026910	Teleostei	shared
18	11052600	11052629	Teleostei	shared
1	55026909	55026925	Teleostei	shared
18	11052628	11052644	Teleostei	shared
1	55034857	55034889	Teleostei	shared
18	11063871	11063903	Teleostei	shared
1	55034888	55034926	Teleostei	shared
18	11063902	11063940	Teleostei	shared
1	55105701	55105714	Teleostei	shared
18	11112969	11112982	Teleostei	shared
1	55105718	55105736	Teleostei	shared
18	11112986	11113003	Teleostei	shared
1	55105735	55105747	Teleostei	shared
18	11113002	11113015	Teleostei	shared
1	55105806	55105929	Teleostei	shared
18	11113079	11113202	Teleostei	shared
1	55269994	55270009	Euteleosteomorpha	shared
18	11309320	11309335	Euteleosteomorpha	shared
1	55428996	55429008	Neopterygii	shared
18	11449787	11449799	Neopterygii	shared
1	55429047	55429090	Neopterygii	shared
18	11449838	11449881	Neopterygii	shared
1	55429089	55429203	Neopterygii	shared
18	11449880	11449990	Neopterygii	shared
1	55462858	55462875	Neopterygii	shared
18	11473090	11473107	Neopterygii	shared
1	55489987	55490055	Teleostei	shared
18	11512502	11512570	Teleostei	shared
1	55490116	55490204	Teleostei	shared
18	11512650	11512738	Teleostei	shared
1	55502816	55502891	Teleostei	shared
18	11519484	11519560	Teleostei	shared
1	56078572	56078615	Neopterygii	shared
18	12074536	12074581	Neopterygii	shared
1	56701520	56701601	Actinopteri	shared
18	12577399	12577480	Actinopteri	shared
1	56701494	56701510	Actinopteri	shared
18	12577373	12577389	Actinopteri	shared
1	56701260	56701344	Actinopteri	shared
18	12577129	12577212	Actinopteri	shared
1	56701001	56701038	Teleostei	shared
18	12576873	12576910	Teleostei	shared
1	56820315	56820342	Actinopteri	shared
18	12674679	12674707	Actinopteri	shared
1	56820344	56820362	Actinopteri	shared
18	12674709	12674727	Actinopteri	shared
1	56820752	56820775	Actinopteri	shared
18	12675135	12675158	Actinopteri	shared
1	56975492	56975516	Neopterygii	shared
18	12799366	12799390	Neopterygii	shared
1	57052112	57052146	Teleostei	shared
18	12837919	12837953	Teleostei	shared
1	57062951	57063030	Teleostei	shared
18	12860719	12860800	Teleostei	shared
1	57624151	57624184	Neopterygii	shared
18	13543369	13543402	Neopterygii	shared
1	57624186	57624208	Neopterygii	shared
18	13543404	13543426	Neopterygii	shared
1	57624531	57624572	Teleostei	shared
18	13543761	13543802	Teleostei	shared
1	57810437	57810539	Euteleostomi	shared
18	13733695	13733798	Euteleostomi	shared
1	57810538	57810609	Euteleostomi	shared
18	13733797	13733868	Euteleostomi	shared
1	57912975	57913020	Actinopteri	shared
18	13824714	13824759	Actinopteri	shared
1	58794277	58794321	Actinopteri	shared
18	14640808	14640852	Actinopteri	shared
1	58910977	58910990	Neopterygii	shared
18	14744253	14744266	Neopterygii	shared
1	58910630	58910746	Neopterygii	shared
18	14743910	14744026	Neopterygii	shared
1	58910595	58910631	Neopterygii	shared
18	14743875	14743911	Neopterygii	shared
1	59053246	59053256	Teleostei	shared
18	14826069	14826081	Teleostei	shared
1	59053217	59053245	Neopterygii	shared
18	14826040	14826068	Neopterygii	shared
1	59053180	59053193	Neopterygii	shared
18	14825992	14826005	Neopterygii	shared
1	59053166	59053180	Neopterygii	shared
18	14825978	14825992	Neopterygii	shared
1	59053063	59053128	Neopterygii	shared
18	14825875	14825940	Neopterygii	shared
1	59372507	59372530	Euteleostomi	shared
18	15179980	15180005	Euteleostomi	shared
1	59372463	59372508	Euteleostomi	shared
18	15179935	15179981	Euteleostomi	shared
1	59372338	59372432	Euteleostomi	shared
18	15179804	15179898	Euteleostomi	shared
1	60410376	60410466	Clupeocephala	shared
18	16312777	16312867	Clupeocephala	shared
1	60768427	60768487	Protacanthopterygii	shared
18	16609990	16610050	Protacanthopterygii	shared
1	60787282	60787317	Clupeocephala	shared
18	16620140	16620175	Clupeocephala	shared
1	60792043	60792081	Teleostei	shared
18	16623794	16623832	Teleostei	shared
1	61688244	61688403	Neopterygii	shared
18	17407594	17407753	Neopterygii	shared
1	61688021	61688068	Neopterygii	shared
18	17407373	17407420	Neopterygii	shared
1	61687558	61687590	Teleostei	shared
18	17406924	17406956	Teleostei	shared
1	61994279	61994290	Actinopteri	shared
18	17600587	17600598	Actinopteri	shared
1	62624026	62624102	Protacanthopterygii	shared
18	18130898	18130974	Protacanthopterygii	shared
1	62624005	62624027	Protacanthopterygii	shared
18	18130877	18130899	Protacanthopterygii	shared
1	64450110	64450150	Euteleosteomorpha	shared
18	20227260	20227298	Euteleosteomorpha	shared
1	64450078	64450095	Clupeocephala	shared
18	20227228	20227245	Clupeocephala	shared
1	64450027	64450079	Actinopteri	shared
18	20227177	20227229	Actinopteri	shared
1	64449969	64450005	Actinopteri	shared
18	20239310	20239346	Actinopteri	shared
1	64449953	64449966	Actinopteri	shared
18	20239294	20239307	Actinopteri	shared
1	64869504	64869609	Clupeocephala	shared
18	20528708	20528813	Clupeocephala	shared
1	65814034	65814134	Protacanthopterygii	shared
18	21282417	21282524	Protacanthopterygii	shared
1	66108802	66108843	Neopterygii	shared
18	21520519	21520560	Neopterygii	shared
1	66985165	66985291	Neopterygii	shared
18	22286846	22286974	Neopterygii	shared
1	67548852	67548923	Actinopteri	shared
18	22752523	22752595	Actinopteri	shared
1	68961184	68961226	Clupeocephala	shared
18	23811726	23811768	Clupeocephala	shared
1	68961164	68961183	Euteleosteomorpha	shared
18	23811706	23811725	Euteleosteomorpha	shared
1	68960755	68960892	Protacanthopterygii	shared
18	23811303	23811443	Protacanthopterygii	shared
1	68960621	68960739	Protacanthopterygii	shared
